Customer Id,Age,Age_label,Edu,Years Employed,Years Employed_label,Income,Income_label,Address,Card Debt,Other Debt,Total Debt,Defaulted,DebtRatio,DebtIncomeRatio (%),Score Age,Score Income,Score DebtRatio,Score Years Employed,risk_score,risk_class
57,32,25-35,1,1,<2,20,Mass,NBA000,0.315,0.645,0.96,1.0,0.048,4.8,3,1,1,5,0.3302845779296469,Low
58,27,25-35,3,2,2–4,26,Mass,NBA007,0.722,0.838,1.56,0.0,0.06,6.0,3,1,2,4,0.29696300150670085,Low
59,40,35-45,1,9,5–9,64,Lower Affluent,NBA004,0.79,3.434,4.224,0.0,0.066,6.6,2,2,2,3,0.09110577575150232,Very low
60,50,45-55,1,11,10–19,36,Mass,NBA005,0.835,0.893,1.728,0.0,0.048,4.8,1,1,1,2,0.03658432705190424,Very low
61,39,35-45,1,17,10–19,60,Lower Affluent,NBA020,2.45,5.77,8.219999999999999,0.0,0.13699999999999998,13.7,2,2,3,2,0.053602829198309436,Very low
62,34,25-35,1,18,10–19,34,Mass,NBA010,2.1,3.136,5.236000000000001,0.0,0.154,15.4,3,1,4,2,0.021377103155400163,Very low
63,36,35-45,1,18,10–19,67,Lower Affluent,NBA009,5.245,2.259,7.504,0.0,0.11199999999999999,11.2,2,2,3,2,0.0283217675297889,Very low
64,44,35-45,2,18,10–19,74,Lower Affluent,NBA004,4.522,5.394,9.916,0.0,0.134,13.4,2,2,3,2,0.06166909195820624,Very low
65,24,18-25,2,4,2–4,20,Mass,NBA004,0.324,0.416,0.74,0.0,0.037000000000000005,3.7,4,1,1,4,0.16476540188893216,Very low
66,31,25-35,1,8,5–9,44,Mass,NBA004,1.721,1.799,3.52,0.0,0.08,8.0,3,1,2,3,0.11905976865655583,Very low
67,34,25-35,1,16,10–19,79,Lower Affluent,NBA009,1.735,1.425,3.16,0.0,0.04,4.0,3,2,1,2,0.007944959797204785,Very low
68,26,25-35,1,4,2–4,27,Mass,NBA003,2.472,0.363,2.835,1.0,0.105,10.5,3,1,3,4,0.28440411073759353,Low
69,38,35-45,1,3,2–4,23,Mass,NBA019,0.832,2.549,3.381,0.0,0.147,14.7,2,1,3,4,0.41997601529402323,Medium
70,24,18-25,1,3,2–4,14,Mass,NBA000,0.838,1.416,2.254,1.0,0.161,16.1,4,1,4,4,0.3456477154819668,Low
71,30,25-35,3,8,5–9,61,Lower Affluent,NBA007,0.55,1.158,1.708,0.0,0.027999999999999997,2.8,3,2,1,3,0.049009281155117546,Very low
72,40,35-45,4,5,5–9,75,Lower Affluent,NBA006,0.885,0.54,1.425,0.0,0.019,1.9,2,2,1,3,0.07884845543778299,Very low
73,30,25-35,2,12,10–19,98,Lower Affluent,NBA009,2.935,4.121,7.056000000000001,0.0,0.07200000000000001,7.2,3,2,2,2,0.06663745203165035,Very low
75,29,25-35,1,9,5–9,33,Mass,NBA002,0.694,0.89,1.584,0.0,0.048,4.8,3,1,1,3,0.05594302443917284,Very low
76,33,25-35,1,5,5–9,18,Mass,NBA010,0.985,1.337,2.322,0.0,0.129,12.9,3,1,3,3,0.23286037954847136,Low
77,43,35-45,1,8,5–9,45,Mass,NBA011,0.677,0.808,1.485,0.0,0.033,3.3,2,1,1,3,0.06067042457501244,Very low
78,35,35-45,2,1,<2,21,Mass,NBA001,0.37,1.289,1.6589999999999998,0.0,0.079,7.9,2,1,2,5,0.3921911361603584,Low
79,41,35-45,2,21,20+,145,Affluent,NBA022,3.237,14.453,17.689999999999998,0.0,0.122,12.2,2,3,3,1,0.13851976559387139,Very low
81,33,25-35,1,12,10–19,68,Lower Affluent,NBA012,1.366,5.978,7.343999999999999,0.0,0.10800000000000001,10.8,3,2,3,2,0.11640698763410495,Very low
82,30,25-35,3,0,<2,65,Lower Affluent,NBA008,3.9,15.405,19.305,1.0,0.297,29.7,3,2,5,5,0.9965803858439475,Very high
83,40,35-45,3,18,10–19,157,Affluent,NBA014,3.326,7.036,10.362,0.0,0.066,6.6,2,3,2,2,0.0192878453939472,Very low
85,49,45-55,2,11,10–19,51,Lower Affluent,NBA001,0.543,7.107,7.65,0.0,0.15,15.0,1,2,4,2,0.2153294246888231,Low
89,28,25-35,2,8,5–9,31,Mass,NBA003,1.492,1.05,2.542,1.0,0.08199999999999999,8.2,3,1,2,3,0.10313376075273556,Very low
90,23,18-25,4,0,<2,32,Mass,NBA004,0.818,5.07,5.888,1.0,0.184,18.4,4,1,4,5,0.770329627553546,High
91,37,35-45,2,11,10–19,75,Lower Affluent,NBA004,0.633,1.992,2.625,0.0,0.035,3.5,2,2,1,2,0.026094479171429322,Very low
92,35,35-45,2,5,5–9,33,Mass,NBA001,0.103,0.821,0.9239999999999999,0.0,0.027999999999999997,2.8,2,1,1,3,0.12023841880890265,Very low
93,31,25-35,1,1,<2,21,Mass,NBA006,0.277,0.248,0.525,1.0,0.025,2.5,3,1,1,5,0.2893375910011094,Low
94,29,25-35,1,1,<2,20,Mass,NBA002,0.569,3.151,3.7199999999999998,1.0,0.18600000000000003,18.6,3,1,4,5,0.5909298020462792,Medium
95,34,25-35,3,7,5–9,27,Mass,NBA000,0.125,0.469,0.594,0.0,0.022000000000000002,2.2,3,1,1,3,0.07207969529008992,Very low
98,38,35-45,1,10,10–19,34,Mass,NBA008,0.036,0.372,0.408,0.0,0.012,1.2,2,1,1,2,0.028682839080829116,Very low
99,32,25-35,2,5,5–9,28,Mass,NBA000,2.594,1.55,4.144,1.0,0.14800000000000002,14.8,3,1,3,3,0.33651586791831745,Low
100,22,18-25,3,0,<2,20,Mass,NBA002,0.219,0.721,0.94,0.0,0.047,4.7,4,1,1,5,0.3804133521903617,Low
101,30,25-35,1,7,5–9,33,Mass,NBA002,1.165,7.217,8.382,1.0,0.254,25.4,3,1,5,3,0.5766582636825298,Medium
103,36,35-45,1,20,20+,60,Lower Affluent,NBA015,1.056,2.184,3.24,0.0,0.054000000000000006,5.4,2,2,2,1,0.0038887044505169148,Very low
104,44,35-45,1,5,5–9,48,Mass,NBA003,1.97,2.35,4.32,1.0,0.09,9.0,2,1,2,3,0.2854007021397121,Low
105,27,25-35,2,4,2–4,22,Mass,NBA003,1.086,1.818,2.904,1.0,0.132,13.2,3,1,3,4,0.3102637595134214,Low
106,47,45-55,1,19,10–19,50,Lower Affluent,NBA007,3.176,11.874,15.05,0.0,0.301,30.1,1,2,5,2,0.3480939053633451,Low
107,41,35-45,1,7,5–9,32,Mass,NBA022,0.072,0.856,0.9279999999999999,0.0,0.028999999999999998,2.9,2,1,1,3,0.07719641581360995,Very low
108,25,25-35,1,8,5–9,27,Mass,NBA004,1.019,2.869,3.888,0.0,0.14400000000000002,14.4,3,1,3,3,0.17015944523350227,Very low
110,42,35-45,3,13,10–19,82,Lower Affluent,NBA000,1.315,1.391,2.706,0.0,0.033,3.3,2,2,1,2,0.01456136526975856,Very low
111,36,35-45,1,14,10–19,53,Lower Affluent,NBA017,1.888,1.133,3.021,0.0,0.057,5.7,2,2,2,2,0.01952474792412113,Very low
112,25,25-35,4,0,<2,32,Mass,NBA002,2.14,3.492,5.632,0.0,0.17600000000000002,17.6,3,1,4,5,0.7539884554407004,High
113,30,25-35,1,10,10–19,39,Mass,NBA011,2.056,1.649,3.705,0.0,0.095,9.5,3,1,2,2,0.08453922263206798,Very low
114,24,18-25,1,0,<2,16,Mass,NBA002,1.009,1.551,2.5599999999999996,1.0,0.16,16.0,4,1,4,5,0.559598045489978,Medium
116,39,35-45,2,9,5–9,32,Mass,NBA012,1.43,0.682,2.112,0.0,0.066,6.6,2,1,2,3,0.07123499236603398,Very low
117,30,25-35,1,4,2–4,18,Mass,NBA002,0.227,1.699,1.9260000000000002,0.0,0.107,10.7,3,1,3,4,0.25067775353812977,Low
119,32,25-35,2,12,10–19,63,Lower Affluent,NBA003,5.55,5.916,11.466000000000001,0.0,0.182,18.2,3,2,4,2,0.40005585826211176,Medium
120,33,25-35,1,7,5–9,26,Mass,NBA006,0.543,1.017,1.56,0.0,0.06,6.0,3,1,2,3,0.10257506008668865,Very low
121,29,25-35,2,6,5–9,21,Mass,NBA004,0.369,2.046,2.415,0.0,0.115,11.5,3,1,3,3,0.18307296262317138,Very low
122,28,25-35,2,5,5–9,37,Mass,NBA002,1.124,1.947,3.071,0.0,0.083,8.3,3,1,2,3,0.21994991581016923,Low
123,33,25-35,4,9,5–9,32,Mass,NBA008,0.496,1.264,1.76,0.0,0.055,5.5,3,1,2,3,0.06144979857048336,Very low
124,39,35-45,2,16,10–19,53,Lower Affluent,NBA012,0.694,1.267,1.9609999999999999,0.0,0.037000000000000005,3.7,2,2,1,2,0.007883344552901888,Very low
125,32,25-35,1,10,10–19,42,Mass,NBA011,1.54,2.282,3.822,0.0,0.091,9.1,3,1,2,2,0.08459339421300092,Very low
127,32,25-35,2,3,2–4,47,Mass,NBA013,0.429,0.464,0.893,0.0,0.019,1.9,3,1,1,4,0.15344138063939108,Very low
128,28,25-35,2,5,5–9,25,Mass,NBA006,0.339,0.386,0.7250000000000001,0.0,0.028999999999999998,2.9,3,1,1,3,0.1231517578788389,Very low
129,26,25-35,1,2,2–4,21,Mass,NBA006,1.023,3.135,4.1579999999999995,0.0,0.198,19.8,3,1,4,4,0.5599139736226748,Medium
130,27,25-35,1,0,<2,16,Mass,NBA001,0.183,0.089,0.272,0.0,0.017,1.7,3,1,1,5,0.3394216952064929,Low
131,35,35-45,1,16,10–19,36,Mass,NBA015,0.179,1.045,1.224,0.0,0.034,3.4,2,1,1,2,0.007751066294391801,Very low
132,35,35-45,1,16,10–19,57,Lower Affluent,NBA010,1.143,4.842,5.984999999999999,0.0,0.105,10.5,2,2,3,2,0.03208088364494765,Very low
133,31,25-35,2,6,5–9,25,Mass,NBA005,2.332,0.543,2.875,0.0,0.115,11.5,3,1,3,3,0.20046915604286344,Low
134,32,25-35,3,5,5–9,23,Mass,NBA009,0.326,0.709,1.035,0.0,0.045,4.5,3,1,1,3,0.142672284470088,Very low
135,29,25-35,1,9,5–9,25,Mass,NBA000,1.07,2.405,3.4749999999999996,0.0,0.139,13.9,3,1,3,3,0.1238092633628407,Very low
136,35,35-45,4,4,2–4,29,Mass,NBA016,1.844,1.346,3.1900000000000004,0.0,0.11,11.0,2,1,3,4,0.3128632582280745,Low
139,44,35-45,1,12,10–19,31,Mass,NBA003,0.358,2.649,3.007,0.0,0.09699999999999999,9.7,2,1,2,2,0.04804154175707793,Very low
140,40,35-45,2,5,5–9,35,Mass,NBA012,1.584,4.156,5.74,1.0,0.16399999999999998,16.4,2,1,4,3,0.4583645902305908,Medium
141,36,35-45,2,13,10–19,41,Mass,NBA006,2.918,3.806,6.724,1.0,0.16399999999999998,16.4,2,1,4,2,0.11429296436981236,Very low
142,23,18-25,2,0,<2,21,Mass,NBA004,0.455,1.372,1.8270000000000002,0.0,0.087,8.7,4,1,2,5,0.46180892989991396,Medium
143,26,25-35,2,8,5–9,40,Mass,NBA001,0.444,4.276,4.72,0.0,0.11800000000000001,11.8,3,1,3,3,0.18273683234834404,Very low
144,30,25-35,1,8,5–9,23,Mass,NBA006,0.762,1.998,2.76,0.0,0.12,12.0,3,1,3,3,0.12709111175961438,Very low
145,34,25-35,1,12,10–19,68,Lower Affluent,NBA005,7.817,9.251,17.067999999999998,1.0,0.251,25.1,3,2,5,2,0.832975447477988,Very high
146,28,25-35,3,2,2–4,30,Mass,NBA005,1.522,4.448,5.970000000000001,0.0,0.19899999999999998,19.9,3,1,4,4,0.6830304143058984,High
148,46,45-55,3,3,2–4,43,Mass,NBA013,3.042,2.634,5.676,1.0,0.132,13.2,1,1,3,4,0.5548596470051789,Medium
149,24,18-25,2,1,<2,42,Mass,NBA002,0.838,1.556,2.394,0.0,0.057,5.7,4,1,2,5,0.36394910746253295,Low
150,25,25-35,2,6,5–9,26,Mass,NBA002,0.07,1.1,1.1700000000000002,0.0,0.045,4.5,3,1,1,3,0.11055804330201102,Very low
151,33,25-35,1,14,10–19,37,Mass,NBA002,0.199,0.763,0.962,0.0,0.026000000000000002,2.6,3,1,1,2,0.011615253867550726,Very low
153,38,35-45,3,4,2–4,31,Mass,NBA006,1.332,1.551,2.883,1.0,0.09300000000000001,9.3,2,1,2,4,0.283230576863031,Low
155,34,25-35,2,9,5–9,65,Lower Affluent,NBA009,2.108,1.922,4.03,0.0,0.062,6.2,3,2,2,3,0.08221613428594061,Very low
157,39,35-45,1,22,20+,113,Affluent,NBA009,0.987,1.951,2.938,0.0,0.026000000000000002,2.6,2,3,1,1,0.0008825017942213298,Very low
158,44,35-45,1,24,20+,101,Affluent,NBA010,2.992,2.664,5.656000000000001,0.0,0.055999999999999994,5.6,2,3,2,1,0.0017512481133395664,Very low
159,28,25-35,2,1,<2,24,Mass,NBA008,1.338,2.766,4.104,1.0,0.171,17.1,3,1,4,5,0.6063489177335604,High
160,31,25-35,3,9,5–9,59,Lower Affluent,NBA007,3.11,5.504,8.613999999999999,1.0,0.146,14.6,3,2,3,3,0.3523728787718218,Low
162,36,35-45,3,13,10–19,39,Mass,NBA003,2.801,4.687,7.488,0.0,0.192,19.2,2,1,4,2,0.1517307308311189,Very low
163,35,35-45,2,14,10–19,82,Lower Affluent,NBA003,0.468,0.188,0.656,0.0,0.008,0.8,2,2,1,2,0.005114670942711644,Very low
164,31,25-35,1,11,10–19,47,Mass,NBA012,2.864,2.259,5.122999999999999,0.0,0.109,10.9,3,1,3,2,0.09571825720441259,Very low
165,28,25-35,2,6,5–9,22,Mass,NBA009,0.65,1.88,2.53,0.0,0.115,11.5,3,1,3,3,0.18641697384342687,Very low
166,36,35-45,4,8,5–9,32,Mass,NBA000,0.025,0.487,0.512,0.0,0.016,1.6,2,1,1,3,0.050882279164980455,Very low
167,31,25-35,3,6,5–9,54,Lower Affluent,NBA008,0.402,1.11,1.512,0.0,0.027999999999999997,2.8,3,2,1,3,0.08393935737364325,Very low
168,30,25-35,1,11,10–19,27,Mass,NBA009,0.074,0.169,0.243,0.0,0.009000000000000001,0.9,3,1,1,2,0.02251340530441091,Very low
169,26,25-35,1,10,10–19,24,Mass,NBA006,0.311,0.337,0.648,0.0,0.027000000000000003,2.7,3,1,1,2,0.03506776672601301,Very low
170,48,45-55,4,3,2–4,45,Mass,NBA023,0.975,3.435,4.41,0.0,0.098,9.8,1,1,2,4,0.42923600675447937,Medium
171,39,35-45,2,16,10–19,89,Lower Affluent,NBA009,5.002,7.725,12.727,0.0,0.14300000000000002,14.3,2,2,3,2,0.19520951933891206,Very low
172,31,25-35,1,7,5–9,20,Mass,NBA002,0.111,2.349,2.4600000000000004,0.0,0.12300000000000001,12.3,3,1,3,3,0.15224576258630196,Very low
173,31,25-35,3,9,5–9,28,Mass,NBA002,0.122,0.606,0.728,0.0,0.026000000000000002,2.6,3,1,1,3,0.04462497884545993,Very low
174,27,25-35,3,3,2–4,45,Mass,NBA004,0.292,4.658,4.95,1.0,0.11,11.0,3,1,3,4,0.45927495395072454,Medium
175,31,25-35,1,13,10–19,27,Mass,NBA012,0.238,1.112,1.35,0.0,0.05,5.0,3,1,2,2,0.02039777028231236,Very low
176,53,45-55,1,0,<2,27,Mass,NBA026,2.754,5.049,7.803000000000001,1.0,0.289,28.9,1,1,5,5,0.8971498896116826,Very high
177,40,35-45,1,15,10–19,55,Lower Affluent,NBA014,0.856,2.169,3.025,0.0,0.055,5.5,2,2,2,2,0.014800483768866312,Very low
178,26,25-35,1,7,5–9,22,Mass,NBA003,0.209,0.913,1.122,0.0,0.051,5.1,3,1,2,3,0.0912909601177274,Very low
179,29,25-35,2,5,5–9,36,Mass,NBA004,3.491,0.973,4.464,1.0,0.124,12.4,3,1,3,3,0.32863013643282785,Low
180,52,45-55,1,19,10–19,89,Lower Affluent,NBA025,0.397,3.786,4.183,0.0,0.047,4.7,1,2,1,2,0.004790755647304472,Very low
181,39,35-45,2,2,2–4,46,Mass,NBA012,4.004,3.356,7.359999999999999,1.0,0.16,16.0,2,1,4,4,0.739240392996111,High
182,33,25-35,2,13,10–19,40,Mass,NBA002,0.181,2.699,2.88,0.0,0.07200000000000001,7.2,3,1,2,2,0.029343388085564373,Very low
183,24,18-25,1,7,5–9,21,Mass,NBA002,0.52,0.803,1.323,0.0,0.063,6.3,4,1,2,3,0.09888094365885101,Very low
184,47,45-55,1,29,20+,129,Affluent,NBA018,20.561,12.076,32.637,1.0,0.253,25.3,1,3,5,1,0.8639551741866713,Very high
185,41,35-45,3,2,2–4,15,Mass,NBA000,1.961,1.984,3.9450000000000003,1.0,0.263,26.3,2,1,5,4,0.5876663234856041,Medium
186,26,25-35,2,6,5–9,45,Mass,NBA007,6.049,5.651,11.7,0.0,0.26,26.0,3,1,5,3,0.829686097834821,Very high
187,48,45-55,1,3,2–4,24,Mass,NBA007,0.764,0.916,1.6800000000000002,0.0,0.07,7.0,1,1,2,4,0.27597755725979367,Low
188,37,35-45,1,13,10–19,24,Mass,NBA005,0.602,1.534,2.136,0.0,0.08900000000000001,8.9,2,1,2,2,0.029555123437412293,Very low
192,47,45-55,1,15,10–19,30,Mass,NBA001,2.212,5.138,7.35,0.0,0.245,24.5,1,1,5,2,0.1103138584744419,Very low
194,37,35-45,2,0,<2,31,Mass,NBA013,0.118,0.161,0.279,1.0,0.009000000000000001,0.9,2,1,1,5,0.2960223589622057,Low
195,40,35-45,2,15,10–19,73,Lower Affluent,NBA016,1.033,1.449,2.482,0.0,0.034,3.4,2,2,1,2,0.009072287836424693,Very low
197,21,18-25,2,0,<2,16,Mass,NBA001,0.15,0.938,1.0879999999999999,0.0,0.068,6.8,4,1,2,5,0.4104110954085488,Medium
198,52,45-55,1,24,20+,64,Lower Affluent,NBA014,3.93,2.47,6.4,0.0,0.1,10.0,1,2,3,1,0.004356736137358207,Very low
199,47,45-55,3,16,10–19,221,Affluent,NBA026,15.792,23.104,38.896,1.0,0.17600000000000002,17.6,1,3,4,2,0.9977402597161538,Very high
200,41,35-45,3,0,<2,26,Mass,NBA021,0.099,0.343,0.44200000000000006,0.0,0.017,1.7,2,1,1,5,0.33017359444172717,Low
201,47,45-55,1,27,20+,113,Affluent,NBA008,2.381,8.015,10.396,0.0,0.092,9.2,1,3,2,1,0.003787039032761907,Very low
203,22,18-25,3,1,<2,25,Mass,NBA003,1.977,1.473,3.45,1.0,0.138,13.8,4,1,3,5,0.5337118009987165,Medium
204,39,35-45,1,8,5–9,21,Mass,NBA000,0.276,0.564,0.84,0.0,0.04,4.0,2,1,1,3,0.0687154873226995,Very low
206,51,45-55,1,10,10–19,44,Mass,NBA001,4.96,0.848,5.808,1.0,0.132,13.2,1,1,3,2,0.16929234666202725,Very low
207,33,25-35,2,10,10–19,26,Mass,NBA004,0.031,0.775,0.806,0.0,0.031,3.1,3,1,1,2,0.037001397642974054,Very low
208,43,35-45,1,25,20+,242,Affluent,NBA016,1.636,4.656,6.292,0.0,0.026000000000000002,2.6,2,3,1,1,0.00017796505977788575,Very low
209,40,35-45,1,22,20+,95,Lower Affluent,NBA004,0.633,2.787,3.42,0.0,0.036000000000000004,3.6,2,2,1,1,0.0014120265518974887,Very low
210,27,25-35,4,2,2–4,23,Mass,NBA008,0.32,0.991,1.311,1.0,0.057,5.7,3,1,2,4,0.28764204124139536,Low
211,31,25-35,1,11,10–19,25,Mass,NBA008,0.141,2.134,2.275,0.0,0.091,9.1,3,1,2,2,0.04989219260714939,Very low
213,37,35-45,1,9,5–9,57,Lower Affluent,NBA008,1.357,1.778,3.135,0.0,0.055,5.5,2,2,2,3,0.06883496847487702,Very low
215,42,35-45,1,3,2–4,24,Mass,NBA010,0.667,1.877,2.544,0.0,0.106,10.6,2,1,3,4,0.3425307654723469,Low
216,25,25-35,1,3,2–4,16,Mass,NBA002,1.011,1.837,2.848,1.0,0.17800000000000002,17.8,3,1,4,4,0.39186443870324006,Low
217,39,35-45,2,7,5–9,68,Lower Affluent,NBA002,1.017,7.823,8.84,1.0,0.13,13.0,2,2,3,3,0.4714421811057091,Medium
220,48,45-55,1,15,10–19,60,Lower Affluent,NBA005,0.321,0.939,1.26,0.0,0.021,2.1,1,2,1,2,0.0073219157039963075,Very low
221,21,18-25,2,0,<2,21,Mass,NBA002,0.488,2.137,2.625,1.0,0.125,12.5,4,1,3,5,0.5379615526318187,Medium
222,40,35-45,3,17,10–19,116,Affluent,NBA011,2.561,4.399,6.96,0.0,0.06,6.0,2,3,2,2,0.013953482038997017,Very low
223,31,25-35,2,9,5–9,30,Mass,NBA001,0.602,1.138,1.7399999999999998,0.0,0.057999999999999996,5.8,3,1,2,3,0.06251225515712705,Very low
224,23,18-25,4,0,<2,23,Mass,NBA002,0.468,1.073,1.541,0.0,0.067,6.7,4,1,2,5,0.42541043767748066,Medium
225,31,25-35,1,6,5–9,21,Mass,NBA009,0.729,1.014,1.7429999999999999,0.0,0.083,8.3,3,1,2,3,0.14786560291672055,Very low
226,31,25-35,1,7,5–9,23,Mass,NBA010,0.225,0.902,1.127,0.0,0.049,4.9,3,1,1,3,0.09165738949097531,Very low
227,50,45-55,3,18,10–19,102,Affluent,NBA027,5.782,8.6,14.382,0.0,0.141,14.1,1,3,3,2,0.1810946029219026,Very low
228,29,25-35,1,1,<2,31,Mass,NBA008,0.156,2.324,2.48,0.0,0.08,8.0,3,1,2,5,0.4207081145042103,Medium
229,37,35-45,3,5,5–9,29,Mass,NBA017,1.405,5.729,7.134,0.0,0.24600000000000002,24.6,2,1,5,3,0.6158970340713842,High
230,46,45-55,1,16,10–19,52,Lower Affluent,NBA018,3.032,3.676,6.708,1.0,0.129,12.9,1,2,3,2,0.04710819908151928,Very low
